"Hugo_Symbol","Entrez_Gene_Id","HR","pvalue","qvalue"
"ANKRD33",341405,1.31431531039929,0.00393493599498014,0.281768977103578
"MEFV",4210,1.28671364734766,0.00398210093980837,0.282575494239584
"MYO15A",51168,1.51738551487298,0.00399226367995934,0.282575494239584
"MARCH9",92979,1.33243515807485,0.00396163071535021,0.282575494239584
"HAS1",3036,1.26067204127813,0.00403720620653123,0.2836038898516
"DDX25",29118,1.33921410307903,0.00403761447270114,0.2836038898516
"LSP1",4046,1.29241289350555,0.00419581782676653,0.285983835059202
"TNFSF14",8740,1.26369433345205,0.00413671463202882,0.285983835059202
"BATF",10538,1.29623186355622,0.0041828013049461,0.285983835059202
"WIF1",11197,1.30056999600539,0.00418143234841022,0.285983835059202
"FAM119B",25895,1.34005659731201,0.00416330721901079,0.285983835059202
"PLBD1",79887,1.28169867816648,0.00418229132640143,0.285983835059202
"PABPC1L2A",340529,1.30408994849427,0.00413137582848669,0.285983835059202
"CCDC152",100129792,1.3428986367558,0.00410192286311396,0.285983835059202
"FLT3",2322,1.2687084575834,0.00425056006946718,0.288645966636179
"SUMO1P1",391257,1.21829149005614,0.00427687252956811,0.289365018976625
"NRXN3",9369,1.3262037065465,0.00435816874483494,0.293785272568489
"NRGN",4900,1.29109713752992,0.00444306800335108,0.295211146184551
"CLRN1",7401,1.26979177009867,0.00442609137023679,0.295211146184551
"CARTPT",9607,1.24814120981039,0.00444348679525733,0.295211146184551
"C10orf116",10974,1.32960204828143,0.00443286704935024,0.295211146184551
"PGCP",10404,1.3662110411394,0.00447542453708838,0.296263445165602
"NFKBIE",4794,1.34805200646164,0.004524026380551,0.298407374484875
"CCR7",1236,1.27080424596641,0.0045582030745832,0.298521747977063
"CLEC4D",338339,1.30064322971256,0.00455813821803775,0.298521747977063
"FABP5",2171,1.30359696905618,0.00473934579352352,0.302305505617024
"B4GALNT1",2583,1.30977788243643,0.00477650363803336,0.302305505617024
"HPS1",3257,1.32986683743703,0.00471811612493754,0.302305505617024
"IL10",3586,1.309815363407,0.00468434837690961,0.302305505617024
"SMOC2",64094,1.22394677758528,0.00466619591644025,0.302305505617024
"ZC3H12A",80149,1.28702194069264,0.00472015806629972,0.302305505617024
"OPALIN",93377,1.35532834226447,0.00466927942509013,0.302305505617024
"ZCCHC5",203430,1.26859953509259,0.00468786293797253,0.302305505617024
"TMEM130",222865,1.29082133332551,0.0047723654781459,0.302305505617024
"TMEM52",339456,1.25472360469084,0.00478024790167658,0.302305505617024
"GGT3P",2679,1.34748213932908,0.0048053426532298,0.302851783723932
"CXCR6",10663,1.29191221325585,0.00483635182729904,0.303765811186977
"RGS14",10636,1.32083736321488,0.00486264206439566,0.304378237792766
"BDKRB1",623,1.26394766935519,0.00497535257978015,0.305204711752314
"LOXL1",4016,1.26087573454959,0.00497037699130025,0.305204711752314
"PLN",5350,1.26604590463798,0.00497119950490289,0.305204711752314
"CH25H",9023,1.30966463473326,0.00493139081373307,0.305204711752314
"NXF3",56000,1.22036874440903,0.004915246753959,0.305204711752314
"TBC1D10C",374403,1.28428867358802,0.00490962029997295,0.305204711752314
"SH2D5",400745,1.30451560274869,0.00504132632631271,0.308224346787817
"GEFT",115557,1.27730225967225,0.00506500289520209,0.308646517484782
"RIMS1",22999,1.30601509209121,0.00511376499694011,0.310589495837257
"FAM20A",54757,1.23833129371817,0.00514780587586616,0.311628524781464
"AGRP",181,1.29160948267693,0.00517171553226175,0.311887526689325
"KLK10",5655,1.31351588461937,0.00518597963195857,0.311887526689325
"PGBD5",79605,1.31072203965236,0.00524400715646035,0.314350044626514
"SERPINF1",5176,1.32290910413601,0.00529066253849568,0.315094054032155
"SLAMF6",114836,1.28392732825551,0.00528993210067866,0.315094054032155
"ACTA1",58,1.28717208875237,0.00540930791738015,0.319266770494452
"AP3S1",1176,1.36773724936013,0.00543012004373002,0.319266770494452
"SNX10",29887,1.29922224053241,0.00539415362706782,0.319266770494452
"TCEAL6",158931,1.31764585006462,0.00541769057843536,0.319266770494452
"CLDN7",1366,1.33134284399143,0.00552005556887213,0.322493913123663
"CTSB",1508,1.28168535586676,0.00550790031407304,0.322493913123663
"PPAPDC1B",84513,1.3526176217902,0.00558366207717837,0.32517763672884
"TACSTD2",4070,1.26203347422928,0.00578531338173686,0.326837879358979
"MMP13",4322,1.25346890533703,0.00572561975483826,0.326837879358979
"SNAP25",6616,1.26789908429217,0.00582529068248356,0.326837879358979
"SYN1",6853,1.26998977923648,0.00579325630627508,0.326837879358979
"TSFM",10102,1.26547197661029,0.0057929706997623,0.326837879358979
"MYL9",10398,1.28690866149636,0.00578216779848041,0.326837879358979
"SULT4A1",25830,1.28721752499974,0.00581079620253479,0.326837879358979
